name,year,lowermiddlequarter,suburb,incomeperstudent,fulltimenonteachers,state,schooltype,uppermiddlequarter,netrecurrentincome,topquarter,schoolsector,capitalexpenditure,icseavalue,fulltimeteachers,location,totalenrollments,bottomquarter,schoolheading,studentteacherratio,type,ratio,tophalf,midics,readingyear3,writingyear3,spellingyear3,grammaryear3,numeracyyear3,readingyear5,writingyear5,spellingyear5,grammaryear5,numeracyyear5,readingyear7,writingyear7,spellingyear7,grammaryear7,numeracyyear7,readingyear9,writingyear9,spellingyear9,grammaryear9,numeracyyear9,_merge,missy3,missy5,missy7,missy9,rawy3agg,rawy5agg,rawy7agg,rawy9agg,y3aggregate,y5aggregate,y7aggregate,y9aggregate,reporticsea,incomequartile,y3quartile,y3agg10,ics10,fitted
Kingston Heath Primary School,2014,24,Cheltenham,10895,3.6,VIC,Primary,38,2582053,25,Government,15964,1046,15,Metropolitan,235,13,"Kingston Heath Primary School, Cheltenham, VIC",,Primary,15.66666698,1,above,454,446,439,472,429,525,513,509,511,507,,,,,,,,,,,3,0,0,5,5,2240,2565,,,2240,2565,,,report ICSEA,2,4,22400,10460,"2,095.930664"
Kingston High School,2014,32,Kingston,12602,21.5,TAS,Secondary,25,8342829,16,Government,60,995,50.4,Metropolitan,723,27,"Kingston High School, Kingston, TAS",,Secondary,14.34523773,0,below,,,,,,,,,,,545,490,532,530,535,596,548,587,583,594,3,5,5,0,0,,,2632,2908,,,2632,2908,report ICSEA,2,,,9950,"1,996.592407"
Kingston International College,2014,,Perth,,,WA,Secondary,,,,Non-government,,,,Metropolitan,,,"Kingston International College, Perth, WA",,Secondary,,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,,,,,
Kingston Primary School,2014,35,Australind,11197,22.9,WA,Primary,23,8930349,7,Government,37340,983,42.5,Provincial,842,35,"Kingston Primary School, Australind, WA",,Primary,19.81176376,0,below,387,387,372,388,373,473,446,468,473,458,527,502,517,524,511,,,,,,3,0,0,0,5,1907,2318,2581,,1907,2318,2581,,report ICSEA,2,4,19070,9830,"1,973.21875"
Kingston Primary School,2014,30,Kingston,11948,12.8,TAS,Primary,28,4657260,15,Government,0,1001,22.6,Metropolitan,395,28,"Kingston Primary School, Kingston, TAS",,Primary,17.47787666,0,below,409,399,409,396,394,496,456,488,476,459,,,,,,,,,,,3,0,0,5,5,2007,2375,,,2007,2375,,,report ICSEA,2,4,20070,10010,"2,008.279297"
Kingston State School,2014,27,Kingston,10527,20.4,QLD,Primary,14,7453056,3,Government,90678,905,45.1,Metropolitan,752,56,"Kingston State School, Kingston, QLD",,Primary,16.67405701,0,below,349,342,353,357,334,443,426,463,439,430,496,456,499,479,507,,,,,,3,0,0,0,5,1735,2201,2437,,1735,2201,2437,,report ICSEA,2,4,17350,9050,"1,821.289673"
Kingston on Murray Primary School,2014,34,Kingston On Murray,29189,1.8,SA,Primary,37,467018,13,Government,9096,1019,2,Provincial,20,16,"Kingston on Murray Primary School, Kingston On Murray, SA",,Primary,10,0,above,413,377,397,421,383,,,,,,,,,,,,,,,,3,0,5,5,5,1991,,,,1991,,,,report ICSEA,4 (highest income),4,19910,10190,"2,043.339844"
Kingstown Public School,2014,28,Kingstown,13685,0.9,NSW,Primary,24,465288,10,Government,13707,953,2.4,Provincial,34,38,"Kingstown Public School, Kingstown, NSW",,Primary,14.16666698,0,below,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,3,,,9530,"1,914.784546"
Kingsville Primary School,2014,12,Yarraville,8365,4.8,VIC,Primary,31,4592306,52,Government,106047,1115,35.4,Metropolitan,596,5,"Kingsville Primary School, Yarraville, VIC",,Primary,16.83615875,1,above,484,423,430,471,443,553,514,510,540,529,,,,,,,,,,,3,0,0,5,5,2251,2646,,,2251,2646,,,report ICSEA,1 (lowest income),4,22510,11150,"2,230.32959"
Kingsway Christian College,2014,13,Darch,13451,39.5,WA,Combined,28,16545148,55,Non-government,1538855,1122,81.4,Metropolitan,1265,4,"Kingsway Christian College, Darch, WA",,Combined,15.5405407,1,above,455,409,425,447,436,532,517,526,546,530,566,523,565,571,578,613,561,611,620,625,3,0,0,0,0,2172,2651,2803,3030,2172,2651,2803,3030,report ICSEA,3,4,21720,11220,"2,243.964111"
Kingswood College,2014,7,Box Hill,17944,26.3,VIC,Combined,26,10272994,65,Non-government,648250,1151,58.8,Metropolitan,569,2,"Kingswood College, Box Hill, VIC",,Combined,9.676870346,1,above,470,396,444,456,423,560,485,533,545,545,591,542,570,584,584,619,558,604,606,632,3,0,0,0,0,2189,2668,2871,3019,2189,2668,2871,3019,report ICSEA,4 (highest income),4,21890,11510,"2,300.450684"
Kingswood High School,2014,28,Kingswood,13839,15.7,NSW,Secondary,15,10822238,4,Government,199494,932,60.5,Metropolitan,759,54,"Kingswood High School, Kingswood, NSW",,Secondary,12.54545498,0,below,,,,,,,,,,,517,471,517,513,516,537,481,554,519,542,3,5,5,0,0,,,2534,2633,,,2534,2633,report ICSEA,3,,,9320,"1,873.880493"
Kingswood Park Public School,2014,19,Penrith,13442,4,NSW,Primary,7,1559274,1,Government,52130,829,8.9,Metropolitan,139,73,"Kingswood Park Public School, Penrith, NSW",,Primary,15.61797714,0,below,321,321,341,289,328,454,406,465,450,429,,,,,,,,,,,3,0,0,5,5,1600,2204,,,1600,2204,,,report ICSEA,3,4,16000,8290,"1,673.256226"
Kingswood Primary School,2014,23,Dingley Village,8792,6.8,VIC,Primary,34,3965109,33,Government,66387,1069,27.1,Metropolitan,468,11,"Kingswood Primary School, Dingley Village, VIC",,Primary,17.26937294,1,above,464,437,433,454,438,520,492,514,505,504,,,,,,,,,,,3,0,0,5,5,2226,2535,,,2226,2535,,,report ICSEA,1 (lowest income),4,22260,10690,"2,140.730225"
Kingswood Public School,2014,25,Kingswood,9455,3,NSW,Primary,29,3138962,26,Government,48058,1031,19.2,Metropolitan,348,20,"Kingswood Public School, Kingswood, NSW",18.125,Primary,18.125,1,above,418,415,426,422,402,510,476,529,537,522,,,,,,,,,,,3,0,0,5,5,2083,2574,,,2083,2574,,,report ICSEA,1 (lowest income),4,20830,10310,"2,066.713623"
Kingswood South Public School,2014,28,Kingswood,19526,7.3,NSW,Primary,21,4803427,10,Government,65868,962,29.8,Metropolitan,263,42,"Kingswood South Public School, Kingswood, NSW",,Primary,8.825503349,0,below,415,374,428,435,399,450,431,485,469,447,,,,,,,,,,,3,0,0,5,5,2051,2282,,,2051,2282,,,report ICSEA,4 (highest income),4,20510,9620,"1,932.314819"
Kinma School,2014,8,Terrey Hills,12573,1.8,NSW,Primary,19,704085,70,Non-government,126,1147,5.1,Metropolitan,67,3,"Kinma School, Terrey Hills, NSW",,Primary,13.13725471,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,2,,,11470,"2,292.659424"
Kinross College,2014,30,Kinross,12303,27.3,WA,Combined,34,11208095,18,Government,59375,1030,44,Metropolitan,881,18,"Kinross College, Kinross, WA",,Combined,20.02272797,1,above,,,,,,,,,,,527,504,557,528,526,578,555,580,562,564,3,5,5,0,0,,,2642,2839,,,2642,2839,report ICSEA,2,,,10300,"2,064.765869"
Kinross Primary School,2014,31,Kinross,10131,14.7,WA,Primary,33,6367274,20,Government,18542,1035,30.9,Metropolitan,626,16,"Kinross Primary School, Kinross, WA",,Primary,20.25889969,1,above,409,396,419,400,393,486,473,506,503,483,,,,,,,,,,,3,0,0,5,5,2017,2451,,,2017,2451,,,report ICSEA,1 (lowest income),4,20170,10350,"2,074.504883"
Kinross Wolaroi School,2014,9,Orange,18190,65.7,NSW,Combined,30,18480559,59,Non-government,3547261,1128,90.2,Provincial,1044,2,"Kinross Wolaroi School, Orange, NSW",,Combined,11.57427979,1,above,458,425,446,465,428,554,511,521,538,552,583,546,569,583,586,637,612,616,626,641,3,0,0,0,0,2222,2676,2867,3132,2222,2676,2867,3132,report ICSEA,4 (highest income),4,22220,11280,"2,255.650879"
Kintore Street School,2014,,Katherine,81871,7.4,NT,Special,,1825730,,Government,351610,,5.6,Remote,27,,"Kintore Street School, Katherine, NT",,Special,4.821428776,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
Kioma State School,2014,24,Kioma,28885,2,QLD,Primary,17,404389,14,Government,10402,955,1.9,Remote,20,45,"Kioma State School, Kioma, QLD",,Primary,10.52631569,0,below,350,432,349,374,,,,,,,,,,,,,,,,,3,1,5,5,5,1505,,,,,,,,report ICSEA,4 (highest income),,,9550,"1,918.680176"
Kippa-Ring State School,2014,31,Kippa-Ring,11879,13.4,QLD,Primary,15,5143767,5,Government,43948,938,28.7,Metropolitan,422,50,"Kippa-Ring State School, Kippa-Ring, QLD",,Primary,14.70383263,0,below,364,322,363,392,358,449,389,442,441,439,511,459,496,495,524,,,,,,3,0,0,0,5,1799,2160,2485,,1799,2160,2485,,report ICSEA,2,4,17990,9380,"1,885.567383"
Kirinari Community School Inc,2014,,Unley,10649,2.1,SA,Primary,,506876,,Non-government,91476,,4.2,Metropolitan,54,,"Kirinari Community School Inc, Unley, SA",,Primary,12.85714245,1,above,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,,,,,,,,,no ICSEA,2,,,,
Kirkton Public School,2014,28,Lower Belford,13324,1.4,NSW,Primary,23,719501,17,Government,9088,1000,3.6,Provincial,53,32,"Kirkton Public School, Lower Belford, NSW",,Primary,14.72222233,0,below,433,425,411,436,436,471,454,485,491,492,,,,,,,,,,,3,0,0,5,5,2141,2393,,,2141,2393,,,report ICSEA,3,4,21410,10000,"2,006.331543"
Kirrawee High School,2014,23,Kirrawee,11512,13.8,NSW,Secondary,34,13695250,35,Government,1563563,1079,81,Metropolitan,1210,8,"Kirrawee High School, Kirrawee, NSW",,Secondary,14.93827152,1,above,,,,,,,,,,,568,538,574,572,579,610,576,603,594,619,3,5,5,0,0,,,2831,3002,,,2831,3002,report ICSEA,2,,,10790,"2,160.208252"
Kirrawee Public School,2014,28,Kirrawee,12873,5.3,NSW,Primary,26,2767601,21,Government,48877,1018,15,Metropolitan,226,24,"Kirrawee Public School, Kirrawee, NSW",,Primary,15.0666666,0,above,428,432,431,426,429,474,453,487,505,478,,,,,,,,,,,3,0,0,5,5,2146,2397,,,2146,2397,,,report ICSEA,3,4,21460,10180,"2,041.39209"
Kirton Point Primary School,2014,31,Port Lincoln,14761,11.1,SA,Primary,12,3542608,3,Government,19578,893,18.3,Remote,231,54,"Kirton Point Primary School, Port Lincoln, SA",,Primary,12.62295055,0,below,375,357,371,363,345,456,415,477,497,450,490,467,509,481,490,,,,,,3,0,0,0,5,1811,2295,2437,,1811,2295,2437,,report ICSEA,3,4,18110,8930,"1,797.916016"
Kirup Primary School,2014,24,Kirup,22224,3.9,WA,Combined,30,1055186,16,Government,150862,1011,4.1,Provincial,51,30,"Kirup Primary School, Kirup, WA",,Combined,12.43902397,0,above,393,385,460,368,454,502,438,513,487,510,,,,,,,,,,,3,0,0,5,5,2060,2450,,,2060,2450,,,report ICSEA,4 (highest income),4,20600,10110,"2,027.757446"
Kirwan State High School,2014,33,Kirwan,11113,46.4,QLD,Secondary,22,23014715,7,Government,852079,945,137.4,Metropolitan,1994,38,"Kirwan State High School, Kirwan, QLD",,Secondary,14.51237297,0,below,,,,,,,,,,,,,,,,544,497,549,531,541,3,5,5,5,0,,,,2662,,,,2662,report ICSEA,2,,,9450,"1,899.202026"
Kirwan State School,2014,33,Kirwan,10808,20.6,QLD,Primary,28,9225325,11,Government,99537,978,53.6,Metropolitan,902,28,"Kirwan State School, Kirwan, QLD",,Primary,16.8283577,0,below,382,376,379,392,379,476,444,487,491,468,512,475,528,523,532,,,,,,3,0,0,0,5,1908,2366,2570,,1908,2366,2570,,report ICSEA,2,4,19080,9780,"1,963.479736"
Kismet Park Primary School,2014,36,Sunbury,8837,8.3,VIC,Primary,28,4038335,17,Government,45132,1023,25.8,Metropolitan,453,20,"Kismet Park Primary School, Sunbury, VIC",,Primary,17.5581398,0,above,414,397,392,411,399,491,483,490,500,490,,,,,,,,,,,3,0,0,5,5,2013,2454,,,2013,2454,,,report ICSEA,1 (lowest income),4,20130,10230,"2,051.131104"
Kitchener Public School,2014,20,Kitchener,12515,1.4,NSW,Primary,8,1013742,0,Government,12303,896,4.9,Metropolitan,85,71,"Kitchener Public School, Kitchener, NSW",,Primary,17.34693909,0,below,355,311,348,338,304,455,444,465,474,452,,,,,,,,,,,3,0,0,5,5,1656,2290,,,1656,2290,,,report ICSEA,2,4,16560,8960,"1,803.759399"
Klemzig Primary School,2014,29,Klemzig,14915,10.8,SA,Primary,28,3877866,17,Government,2240968,1008,21.7,Metropolitan,213,26,"Klemzig Primary School, Klemzig, SA",,Primary,9.815668106,0,above,413,401,425,424,393,474,455,500,476,445,521,429,531,519,499,,,,,,3,0,0,0,5,2056,2350,2499,,2056,2350,2499,,report ICSEA,3,4,20560,10080,"2,021.91394"
Knox Central Primary School,2014,36,Boronia,10543,3.8,VIC,Primary,25,1423342,8,Government,87730,988,9,Metropolitan,139,32,"Knox Central Primary School, Boronia, VIC",,Primary,15.44444466,0,below,421,415,422,440,402,469,446,446,439,473,,,,,,,,,,,3,0,0,5,5,2100,2273,,,2100,2273,,,report ICSEA,2,4,21000,9880,"1,982.957764"
Knox Gardens Primary School,2014,22,Wantirna South,8767,3.5,VIC,Primary,34,2630055,31,Government,27309,1062,16.4,Metropolitan,282,12,"Knox Gardens Primary School, Wantirna South, VIC",,Primary,17.19512177,1,above,444,437,460,482,446,524,514,518,534,527,,,,,,,,,,,3,0,0,5,5,2269,2617,,,2269,2617,,,report ICSEA,1 (lowest income),4,22690,10620,"2,127.095703"
Knox Grammar School,2014,3,Wahroonga,21389,176.2,NSW,Secondary,16,49281375,80,Non-government,8355002,1175,219.2,Metropolitan,2420,1,"Knox Grammar School, Wahroonga, NSW",,Secondary,11.04014587,1,above,483,437,465,485,465,561,512,542,562,557,604,548,588,600,625,635,600,627,629,676,3,0,0,0,0,2335,2734,2965,3167,2335,2734,2965,3167,report ICSEA,4 (highest income),4,23350,11750,"2,347.197998"
Knox Park Primary School,2014,31,Knoxfield,9302,5.5,VIC,Primary,30,2344133,24,Government,32416,1041,15.8,Metropolitan,289,16,"Knox Park Primary School, Knoxfield, VIC",,Primary,18.2911396,1,above,429,432,405,418,424,504,452,494,511,490,,,,,,,,,,,3,0,0,5,5,2108,2451,,,2108,2451,,,report ICSEA,1 (lowest income),4,21080,10410,"2,086.19165"
Kogan State School,2014,21,Kogan,12633,2.5,QLD,Primary,25,543231,0,Government,69711,930,2.3,Provincial,48,53,"Kogan State School, Kogan, QLD",,Primary,20.86956596,0,below,352,380,374,371,344,461,465,456,470,476,500,476,505,489,466,,,,,,3,0,0,0,5,1821,2328,2436,,1821,2328,2436,,report ICSEA,3,4,18210,9300,"1,869.984863"
Kogarah High School,2014,26,Kogarah,13695,20.6,NSW,Secondary,26,11895558,14,Government,410758,998,76.3,Metropolitan,950,33,"Kogarah High School, Kogarah, NSW",,Secondary,12.45085144,0,below,,,,,,,,,,,525,500,545,523,534,535,500,554,535,558,3,5,5,0,0,,,2627,2682,,,2627,2682,report ICSEA,3,,,9980,"2,002.435913"
Kogarah Public School,2014,18,Kogarah,9746,2.8,NSW,Primary,31,3216065,40,Government,50071,1078,20.7,Metropolitan,324,12,"Kogarah Public School, Kogarah, NSW",,Primary,15.652174,1,above,441,414,473,476,426,505,498,538,566,508,,,,,,,,,,,3,0,0,5,5,2230,2615,,,2230,2615,,,report ICSEA,1 (lowest income),4,22300,10780,"2,158.260498"
Koinonia Christian Academy,2014,37,Bourke,17045,4.2,NSW,Combined,34,545429,9,Non-government,17506,962,3.1,Very Remote,32,20,"Koinonia Christian Academy, Bourke, NSW",,Combined,10.32258034,0,below,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,4 (highest income),,,9620,"1,932.314819"
Kojonup District High School,2014,26,Kojonup,18567,12.5,WA,Combined,25,4645129,16,Government,506833,985,17,Provincial,232,33,"Kojonup District High School, Kojonup, WA",,Combined,13.64705849,0,below,379,371,385,361,381,524,471,473,507,497,534,497,541,550,567,570,511,553,546,594,3,0,0,0,0,1877,2472,2689,2774,1877,2472,2689,2774,report ICSEA,4 (highest income),4,18770,9850,"1,977.11438"
Kolan South State School,2014,31,South Kolan,10673,4.5,QLD,Primary,15,1522007,5,Government,53058,947,6.9,Provincial,139,49,"Kolan South State School, South Kolan, QLD",,Primary,20.14492798,0,below,395,393,409,429,402,486,448,495,511,482,524,486,525,535,538,,,,,,3,0,0,0,5,2028,2422,2608,,2028,2422,2608,,report ICSEA,2,4,20280,9470,"1,903.097656"
Kolbe Catholic College,2014,29,Greenvale Lakes,12922,25,VIC,Secondary,20,11087154,8,Non-government,5490962,930,70.9,Metropolitan,906,44,"Kolbe Catholic College, Greenvale Lakes, VIC",,Secondary,12.77856159,0,below,,,,,,,,,,,505,487,516,498,500,550,528,563,549,546,3,5,5,0,0,,,2506,2736,,,2506,2736,report ICSEA,3,,,9300,"1,869.984863"
Kolbe Catholic College,2014,32,Rockingham,13754,33.9,WA,Combined,33,14510542,21,Non-government,723458,1040,76.4,Metropolitan,1052,13,"Kolbe Catholic College, Rockingham, WA",,Combined,13.76963329,1,above,,,,,,,,,,,542,511,535,538,526,596,585,595,585,593,3,5,5,0,0,,,2652,2954,,,2652,2954,report ICSEA,3,,,10400,"2,084.243896"
Kondinin Primary School,2014,22,Kondinin,29674,4.2,WA,Primary,8,1319922,3,Government,19643,801,3.3,Remote,33,67,"Kondinin Primary School, Kondinin, WA",,Primary,10,0,below,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,4 (highest income),,,8010,"1,618.717651"
Kongorong Primary School,2014,52,Kongorong,14571,1.7,SA,Primary,19,772256,4,Government,0,992,4.6,Provincial,52,25,"Kongorong Primary School, Kongorong, SA",,Primary,11.30434799,0,below,406,423,389,426,421,,,,,,547,507,532,536,527,,,,,,3,0,5,0,5,2065,,2649,,2065,,2649,,report ICSEA,3,4,20650,9920,"1,990.749023"
Kongwak Primary School,2014,27,Kongwak,8805,0,VIC,Primary,35,228922,28,Government,5404,1057,0,Provincial,23,10,"Kongwak Primary School, Kongwak, VIC",,Primary,,1,above,,,,,,516,531,518,545,518,,,,,,,,,,,3,5,0,5,5,,2628,,,,2628,,,report ICSEA,1 (lowest income),,,10570,"2,117.356689"
Koo Wee Rup Primary School,2014,36,Koo Wee Rup,9219,3.8,VIC,Primary,11,1567234,3,Government,19498,948,11.4,Provincial,169,51,"Koo Wee Rup Primary School, Koo Wee Rup, VIC",,Primary,14.82456112,0,below,441,448,428,445,393,492,484,473,505,456,,,,,,,,,,,3,0,0,5,5,2155,2410,,,2155,2410,,,report ICSEA,1 (lowest income),4,21550,9480,"1,905.04541"
Koo Wee Rup Secondary College,2014,34,Koo Wee Rup,11157,17.6,VIC,Secondary,15,11425067,4,Government,569976,962,74,Provincial,991,47,"Koo Wee Rup Secondary College, Koo Wee Rup, VIC",,Secondary,13.39189148,0,below,,,,,,,,,,,522,481,532,510,517,563,516,577,560,560,3,5,5,0,0,,,2562,2776,,,2562,2776,report ICSEA,2,,,9620,"1,932.314819"
Koolunga Primary School,2014,21,Koolunga,30158,1.2,SA,Primary,33,542847,24,Government,0,1012,2,Provincial,20,22,"Koolunga Primary School, Koolunga, SA",,Primary,10,1,above,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,,,,,,,,,report ICSEA,4 (highest income),,,10120,"2,029.7052"
Koonawarra Public School,2014,23,Dapto,14197,6.6,NSW,Primary,7,3833128,1,Government,132642,847,19.3,Metropolitan,247,69,"Koonawarra Public School, Dapto, NSW",,Primary,12.79792786,0,below,370,372,367,373,368,433,399,449,442,421,,,,,,,,,,,3,0,0,5,5,1850,2144,,,1850,2144,,,report ICSEA,3,4,18500,8470,"1,708.316772"
Koondoola Primary School,2014,18,Koondoola,21434,20.2,WA,Primary,11,7372710,2,Government,220192,885,33.1,Metropolitan,367,69,"Koondoola Primary School, Koondoola, WA",,Primary,11.08761311,0,below,317,341,334,336,344,412,432,483,444,450,479,468,476,471,498,,,,,,3,0,0,0,5,1672,2221,2392,,1672,2221,2392,,report ICSEA,4 (highest income),4,16720,8850,"1,782.333496"
Koondrook Primary School,2014,31,Koondrook,11421,1.1,VIC,Primary,13,571061,2,Government,283836,923,3.4,Provincial,49,55,"Koondrook Primary School, Koondrook, VIC",,Primary,14.4117651,0,below,362,365,374,383,372,,,,,,,,,,,,,,,,3,0,5,5,5,1856,,,,1856,,,,report ICSEA,2,4,18560,9230,"1,856.35022"
Koonibba Aboriginal School,2014,,Koonibba,25702,2.5,SA,Primary,,925271,,Government,16161,,3.4,Very Remote,32,,"Koonibba Aboriginal School, Koonibba, SA",,Primary,9.411765099,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
Koonung Secondary College,2014,18,Mont Albert North,11319,23.1,VIC,Secondary,35,12292614,40,Government,143808,1087,76.3,Metropolitan,1084,7,"Koonung Secondary College, Mont Albert North, VIC",,Secondary,14.20707703,1,above,,,,,,,,,,,576,524,575,575,582,598,579,600,607,605,3,5,5,0,0,,,2832,2989,,,2832,2989,report ICSEA,2,,,10870,"2,175.790771"
Koonwarra Village School,2014,,Koonwarra,14504,1.8,VIC,Primary,,397397,,Non-government,25866,,2.6,Provincial,31,,"Koonwarra Village School, Koonwarra, VIC",,Primary,11.92307663,1,above,,,,,,543,485,516,548,520,,,,,,,,,,,3,5,0,5,5,,2612,,,,2612,,,no ICSEA,3,,,,
Koorana Education Support Centre,2014,,Warnbro,97604,7,WA,Special,,1227857,,Government,2846,,3.4,Metropolitan,13,,"Koorana Education Support Centre, Warnbro, WA",,Special,3.823529482,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
Koorana Primary School,2014,31,Warnbro,12753,17.7,WA,Primary,14,4819732,3,Government,14552,932,22.2,Metropolitan,387,52,"Koorana Primary School, Warnbro, WA",,Primary,17.43243217,0,below,376,386,367,371,372,436,399,435,431,433,514,481,513,498,502,,,,,,3,0,0,0,5,1872,2134,2508,,1872,2134,2508,,report ICSEA,3,4,18720,9320,"1,873.880493"
Koorawatha Public School,2014,31,Koorawatha,16701,1.2,NSW,Primary,29,384123,9,Government,13027,951,2.6,Provincial,28,31,"Koorawatha Public School, Koorawatha, NSW",,Primary,10.76923084,0,below,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,4 (highest income),,,9510,"1,910.888916"
Koorda Primary School,2014,30,Koorda,24834,2.7,WA,Primary,26,1094192,16,Government,129507,1001,3.6,Remote,54,28,"Koorda Primary School, Koorda, WA",,Primary,15,0,below,398,380,390,395,403,,,,,,514,498,528,514,536,,,,,,3,0,5,0,5,1966,,2590,,1966,,2590,,report ICSEA,4 (highest income),4,19660,10010,"2,008.279297"
Kooringal High School,2014,32,Kooringal,13308,14,NSW,Secondary,23,11182514,14,Government,335128,989,64.3,Provincial,876,30,"Kooringal High School, Kooringal, NSW",,Secondary,13.62363911,0,below,,,,,,,,,,,540,500,539,536,538,572,522,579,572,574,3,5,5,0,0,,,2653,2819,,,2653,2819,report ICSEA,3,,,9890,"1,984.90564"
Kooringal Public School,2014,28,Wagga Wagga,10222,4.1,NSW,Primary,22,4692040,17,Government,54418,983,27.2,Provincial,449,33,"Kooringal Public School, Wagga Wagga, NSW",,Primary,16.50735283,0,below,420,383,414,437,410,496,465,496,500,494,,,,,,,,,,,3,0,0,5,5,2064,2451,,,2064,2451,,,report ICSEA,1 (lowest income),4,20640,9830,"1,973.21875"
Koorlong Primary School,2014,29,Koorlong,14721,2.1,VIC,Primary,25,529959,15,Government,2219,977,3.4,Provincial,42,31,"Koorlong Primary School, Koorlong, VIC",,Primary,12.35294151,0,below,453,409,430,454,425,511,505,498,502,427,,,,,,,,,,,3,0,0,5,5,2171,2443,,,2171,2443,,,report ICSEA,3,4,21710,9770,"1,961.53186"
Kootingal Public School,2014,28,Kootingal,10265,2,NSW,Primary,18,1857896,11,Government,51939,944,10.3,Provincial,176,44,"Kootingal Public School, Kootingal, NSW",,Primary,17.08737946,0,below,411,364,395,408,369,448,417,438,453,438,,,,,,,,,,,3,0,0,5,5,1947,2194,,,1947,2194,,,report ICSEA,1 (lowest income),4,19470,9440,"1,897.254272"
Kormilda College,2014,20,Berrimah,22385,45.1,NT,Combined,27,17572128,32,Non-government,311089,982,67.6,Provincial,607,21,"Kormilda College, Berrimah, NT",8.979289941,Combined,8.979290009,1,below,,,,,,,,,,,568,523,538,553,557,574,522,562,573,577,3,5,5,0,0,,,2739,2808,,,2739,2808,report ICSEA,4 (highest income),,,9820,"1,971.270996"
Koroit And District Primary School,2014,38,Koroit,11193,3.7,VIC,Primary,19,1287149,6,Government,6436,964,9,Provincial,119,36,"Koroit And District Primary School, Koroit, VIC",,Primary,13.22222233,0,below,426,430,407,438,378,514,473,532,498,519,,,,,,,,,,,3,0,0,5,5,2079,2536,,,2079,2536,,,report ICSEA,2,4,20790,9640,"1,936.210449"
Kororo Public School,2014,31,Korora,9404,4.1,NSW,Primary,31,5096793,18,Government,76563,1018,30,Provincial,561,20,"Kororo Public School, Korora, NSW",,Primary,18.70000076,0,above,405,396,393,383,387,521,479,518,521,498,,,,,,,,,,,3,0,0,5,5,1964,2537,,,1964,2537,,,report ICSEA,1 (lowest income),4,19640,10180,"2,041.39209"
Kororoit Creek Primary School,2014,29,Burnside Heights,8822,13.8,VIC,Primary,34,5884286,25,Government,223139,1053,47.2,Metropolitan,758,12,"Kororoit Creek Primary School, Burnside Heights, VIC",,Primary,16.05932236,1,above,448,459,452,471,451,505,493,507,512,503,,,,,,,,,,,3,0,0,5,5,2281,2520,,,2281,2520,,,report ICSEA,1 (lowest income),4,22810,10530,"2,109.56543"
Korowa Anglican Girls' School,2014,3,Glen Iris,23776,38.7,VIC,Combined,14,15121346,83,Non-government,923615,1200,65.1,Metropolitan,619,1,"Korowa Anglican Girls' School, Glen Iris, VIC",,Combined,9.508448601,1,above,515,483,484,556,483,569,535,551,569,541,614,586,605,617,625,650,634,638,652,658,3,0,0,0,0,2521,2765,3047,3232,2521,2765,3047,3232,report ICSEA,4 (highest income),4,25210,12000,"2,395.893311"
Korowal School,2014,10,Hazelbrook,14061,6.8,NSW,Combined,31,3107575,54,Non-government,30254,1107,19.5,Metropolitan,220,5,"Korowal School, Hazelbrook, NSW",,Combined,11.28205109,1,above,,,,,,,,,,,591,562,595,579,528,645,593,608,640,610,3,5,5,0,0,,,2855,3096,,,2855,3096,report ICSEA,3,,,11070,"2,214.74707"
Korumburra Primary School,2014,35,Korumburra,8357,9.1,VIC,Primary,18,3392800,7,Government,56699,978,24.8,Provincial,428,40,"Korumburra Primary School, Korumburra, VIC",,Primary,17.25806427,0,below,391,374,389,389,391,479,444,459,463,473,,,,,,,,,,,3,0,0,5,5,1934,2318,,,1934,2318,,,report ICSEA,1 (lowest income),4,19340,9780,"1,963.479736"
Korumburra Secondary College,2014,31,Korumburra,13076,10.6,VIC,Secondary,18,5465672,5,Government,210029,965,31.6,Provincial,411,47,"Korumburra Secondary College, Korumburra, VIC",,Secondary,13.00632954,0,below,,,,,,,,,,,527,487,518,506,515,552,511,545,542,561,3,5,5,0,0,,,2553,2711,,,2553,2711,report ICSEA,3,,,9650,"1,938.158203"
